Species Name,Breeding Lat,Migration Length,Taxonomy,Scientific Name
Acadian Flycatcher,36.850398,3606.3844,Tyrannidae,Empidonax virescens
Alder Flycatcher,54.13249,7628.5507,Tyrannidae,Empidonax alnorum
Allen's Hummingbird,36.63734,390.6184,Trochilidae,Selasphorus sasin
Anna's Hummingbird,36.83189,55.19181,Trochilidae,Calypte anna
Ash-throated Flycatcher,33.076574,982.3968,Tyrannidae,Myiarchus cinerascens
Baltimore Oriole,43.12987162,3245.800905,Icteridae,Icterus galbula
Band-tailed Pigeon,20.736099,734.817,Columbidae,Patagioenas fasciata
Bay-breasted Warbler,49.05463,4686.09049,Parulidae,Dendroica castanea
Bell's Vireo,33.797137,1202.0871,Vireonidae,Vireo bellii
Bewick's Wren,31.72568,29.38538,Troglodytidae,Thryomanes bewickii
Black Phoebe,24.370305,279.7955,Tyrannidae,Sayornis nigricans
Black-and-white Warbler,46.60122,3120.673,Parulidae,Mniotilta varia
Black-billed Cuckoo,45.2823,2133.1173,Cuculidae,Coccyzus erythropthalmus
Black-chinned Hummingbird,32.95097,1421.76335,Trochilidae,Archilochus alexandri
Black-headed Grosbeak,39.349922,2286.7781,Cardinalidae,Pheucticus melanocephalus
Black-throated Blue Warbler,44.72488,2754.735,Parulidae,Dendroica caerulescens
Black-throated Gray Warbler,41.42159,2320.828,Parulidae,Setophaga nigrescens
Black-throated Green Warbler,45.58933,3481.505,Parulidae,Dendroica virens
Black-throated Sparrow,32.76922,357.33758,Passerellidae,Amphispiza bilineata
Blackburnian Warbler,46.28336,4727.93,Parulidae,Dendroica fusca
Blackpoll Warbler,57.38723,6768.269,Parulidae,Dendroica striata
Blue Grosbeak,32.717193,1434.28993,Cardinalidae,Passerina caerulea
Blue Jay,40.77115,85.19777,Corvidae,Cyanocitta cristata
Blue-headed Vireo,46.102027,2166.187,Vireonidae,Vireo solitarius
Blue-winged Warbler,41.95261,2907.299,Parulidae,Vermivora pinus
Bohemian Waxwing,63.144439,2644.699,Bombycillidae,Bombycilla garrulus
Brewer's Blackbird,45.88617217,1206.682792,Icteridae,Euphagus cyanocephalus
Brewer's Sparrow,42.50916,1313.13707,Passerellidae,Spizella breweri
Broad-tailed Hummingbird,38.32612,2187.70942,Trochilidae,Selasphorus platycercus
Brown Thrasher,40.41567,847.33003,Mimidae,Toxostoma rufum
Brown-capped Rosy-Finch,39.02108,66.59543,Fringillidae,Leucosticte australis
Brown-crested Flycatcher,31,1930,Tyrannidae,Myiarchus tyrannulus
Bullock's Oriole,38.65455642,2214.792219,Icteridae,Icterus bullockii
Calliope Hummingbird,39.66144,4009.793,Trochilidae,Stellula calliope
Canada Warbler,47.00755,4980.775,Parulidae,Wilsonia canadensis
Cape May Warbler,49.32361,3277.341,Parulidae,Dendroica tigrina
Cassin's Finch,43.49176,584.96503,Fringillidae,Carpodacus cassinii
Cassin's Vireo,45.64791,3070.5802,Vireonidae,Vireo cassinii
Cave Swallow,26.6854,961.732739,Hirundinidae,Petrochelidon fulva
Cerulean Warbler,39.64343,4008.195,Parulidae,Dendroica cerulea
Chestnut-collared Longspur,47.713023,1638.1783,Calcariidae,Calcarius ornatus
Chestnut-sided Warbler,46.37756,3761.949,Parulidae,Dendroica pensylvanica
Clay-colored Sparrow,50.50372,3013.66898,Passerellidae,Spizella pallida Scientific name definitions
Common Grackle,41.6414549,714.0284743,Icteridae,Quiscalus quiscula
Common Redpoll,63.9197,1789.2368,Fringillidae,Carduelis flammea
Connecticut Warbler,53.55428,3555.079,Parulidae,Oporornis agilis
Cordilleran Flycatcher,32.99523,1558.533,Tyrannidae,Empidonax occidentalis
Costa's Hummingbird,32.29649,403.1345,Trochilidae,Calypte costae
Dickcissel,39.218224,4313.0362,Cardinalidae,Spiza americana
Dusky Flycatcher,44.29006,2775.815,Tyrannidae,Empidonax oberholseri 
Eastern Bluebird,37.05424,144.97815,Turdidae,Sialia sialis
Eastern Meadowlark,34.72376,289.8982,Icteridae,Sturnella magna
Eastern Phoebe,40.73082,1044.47,Tyrannidae,Sayornis phoebe
Eastern Towhee,37.55913,358.21546,Passerellidae,Pipilo erythrophthalmus
Eastern Wood-Pewee,40.46991,5130.989,Tyrannidae,Contopus virens
Field Sparrow,39.72664,518.34324,Passerellidae,Spizella pusilla
Golden-crowned Sparrow,61.45581,3030.1051,Passerellidae,Zonotrichia atricapilla
Golden-winged Warbler,46.10937,3693.627,Parulidae,Vermivora chrysoptera
Gray Flycatcher,40.44382,1657.211,Tyrannidae,Empidonax wrightii
Gray Kingbird,20.20254,839.221,Tyrannidae,Tyrannus dominicensis
Gray Vireo,35.664037,939.7356,Vireonidae,Vireo vicinior
Gray-cheeked Thrush,63.68302,8579.82008,Turdidae,Catharus minimus
Gray-crowned Rosy-Finch,52.54879,2026.97851,Fringillidae,Leucosticte tephrocotis
Great Crested Flycatcher,38.76587,2745.153,Tyrannidae,Myiarchus crinitus
Green-tailed Towhee,40.69832,1298.0753,Passerellidae,Pipilo chlorurus
Hammond's Flycatcher,49.94935,3613.948,Tyrannidae,Empidonax hammondii
Harris's Sparrow,60.216,2646.931,Passerellidae,Zonotrichia querula
Hermit Warbler,42.40681,3463.453,Parulidae,Dendroica occidentalis
Hooded Oriole,27.0159,777.2154,Icteridae,Icterus cucullatus
Hooded Warbler,36.53581,2193.372,Parulidae,Wilsonia citrina
Indigo Bunting,37.54175,2195.14958,Cardinalidae,Passerina cyanea
Kentucky Warbler,36.05926,2246.883,Parulidae,Oporornis formosus
Lark Bunting,42.99569,1315.099,Passerellidae,Calamospiza melanocorys
Lark Sparrow,38.62461,1417.4037,Passerellidae,Chondestes grammacus
Lawrence's Goldfinch,35.8496,189.9996,Fringillidae,Carduelis lawrencei
Lazuli Bunting,43.13688,2131.8084,Cardinalidae,Passerina amoena
LeConte's Sparrow,53.4848,2461.6354,Passerellidae,Ammospiza leconteii
