Spec name,Scientific,Exclude_start,Exclude_end
Saltmarsh Sparrow,Ammodramus caudacutus,1960,1995
Nelson's Sparrow,Ammodramus nelsoni,1960,1995
Bell's Sparrow,Amphispiza belli,1960,2013
Sagebrush Sparrow,Amphispiza belli,1960,2013
Gray-cheeked Thrush,Catharus minimus,1960,1995
Alder Flycatcher,Empidonax alnorum,1960,1973
Pacific-slope Flycatcher,Empidonax difficilis,1960,1989
Dusky Flycatcher,Empidonax oberholseri,1960,1982
Cordilleran Flycatcher,Empidonax occidentalis,1960,1989
Gray Flycatcher,Empidonax wrightii,1960,1982
Bullock's Oriole,Icterus bullockii,1973,1995
Baltimore Oriole,Icterus galbula,1973,1995
Brown-capped Rosy-Finch,Leucosticte australis,1982,1993
Gray-crowned Rosy-Finch,Leucosticte tephrocotis,1982,1993
Eastern Towhee,Pipilo erythrophthalmus,1960,1995
Spotted Towhee,Pipilo maculatus,1960,1995
Red-naped Sapsucker,Sphyrapicus nuchalis,1960,1985
Yellow-bellied Sapsucker,Sphyrapicus varius,1960,1985
Winter Wren,Troglodytes troglodytes,1960,2010
Pacific Wren,Troglodytes troglodytes,1960,2010
Cassin's Vireo,Vireo cassinii,1960,1997
Plumbeous Vireo,Vireo plumbeus,1960,1997
Blue-headed Vireo,Vireo solitarius,1960,1997
