Species Name,Breeding Lat,Migration Length,Taxonomy,Scientific Name,theta_2_5,theta_50,theta_97_5,Sig +,Sig -,Diurnal Migrant,Notes
Snow Bunting,67.320183,2232.5249,Calcariidae,Plectrophenax nivalis,-0.744895087,-0.647368073,-0.547344408,0,1,B,
Dickcissel,39.218224,4313.0362,Cardinalidae,Spiza americana,-0.075489284,0.06196396,0.201552261,0,0,B,"""Most migratory movements are nocturnal, but large flocks of fall and spring migrants are seen moving and foraging during the day in North America and Central America"""
Baltimore Oriole,43.12987162,3245.800905,Icteridae,Icterus galbula,-0.087001051,0.011894686,0.108089019,0,0,B,
Clay-colored Sparrow,50.50372,3013.66898,Passerellidae,Spizella pallida Scientific name definitions,-0.279467618,-0.210028082,-0.141361344,0,1,B,
Swamp Sparrow,49.54157,1709.71018,Passerellidae,Melospiza georgiana,0.007521852,0.04099906,0.075398929,1,0,B,
Red-headed Woodpecker,38.58253,596.4423,Picidae,Melanerpes erythrocephalus,-0.157936031,-0.035445346,0.086614972,0,0,B,"""mainly diurnal migration in fall and nocturnal migration in spring"""
Western Bluebird,37.979335,377.0146,Turdidae,Sialia mexicana,-0.190716868,-0.043403439,0.106064684,0,0,B,"""Diurnal migrant throughout much of range; nocturnal in Farallon Is., CA """
Eastern Wood-Pewee,40.46991,5130.989,Tyrannidae,Contopus virens,-0.096188874,-0.067973584,-0.039878398,0,1,B,
Band-tailed Pigeon,20.736099,734.817,Columbidae,Patagioenas fasciata,0.27936072,0.356218624,0.433287249,1,0,D,
Blue Jay,40.77115,85.19777,Corvidae,Cyanocitta cristata,0.017821462,0.040745363,0.064166441,1,0,D,
Brown-capped Rosy-Finch,39.02108,66.59543,Fringillidae,Leucosticte australis,-0.595753197,-0.379630333,-0.166802828,0,1,D,
Common Redpoll,63.9197,1789.2368,Fringillidae,Carduelis flammea,0.116024342,0.171133601,0.228224777,1,0,D,
Gray-crowned Rosy-Finch,52.54879,2026.97851,Fringillidae,Leucosticte tephrocotis,-0.243220834,-0.08452788,0.076346398,0,0,D,"""Presumably rosy-finch migration is diel (daytime) and not initiated by nocturnal migratory restlessness"""
Pine Grosbeak,53.74717,479.94569,Fringillidae,Pinicola enucleator,-0.149764022,-0.037429884,0.079393019,0,0,D,"""apparently a diurnal migrant"""
White-winged Crossbill,57.763275,551.449682,Fringillidae,Loxia leucoptera,-0.03492972,0.079327994,0.196984709,0,0,D,
Cassin's Finch,43.49176,584.96503,Fringillidae,Carpodacus cassinii,0.003717094,0.131281823,0.251831422,1,0,D,
Lawrence's Goldfinch,35.8496,189.9996,Fringillidae,Carduelis lawrencei,0.163804908,0.293133411,0.418012078,1,0,D,
Lesser Goldfinch,29.0977,155.43779,Fringillidae,Carduelis psaltria,0.01349441,0.06718178,0.12019462,1,0,D,
Purple Finch,47.47588,560.41272,Fringillidae,Carpodacus purpureus,-0.03632064,-0.01023483,0.014774486,0,0,D,
Purple Martin,35.3205,5800,Hirundinidae,Progne subis,0.088129879,0.126198291,0.164591061,1,0,D,
Cave Swallow,26.6854,961.732739,Hirundinidae,Petrochelidon fulva,-0.092203343,-0.055941782,-0.019939517,0,1,D,
Violet-green Swallow,42.00124664,2800.129257,Hirundinidae,Tachycineta thalassina,-0.129239246,0.001546015,0.134118407,0,0,D,
Brewer's Blackbird,45.88617217,1206.682792,Icteridae,Euphagus cyanocephalus,-0.094511611,0.010497353,0.119082519,0,0,D,
Common Grackle,41.6414549,714.0284743,Icteridae,Quiscalus quiscula,0.080770692,0.119459834,0.158487424,1,0,D,
Eastern Meadowlark,34.72376,289.8982,Icteridae,Sturnella magna,0.126614982,0.216490868,0.302874849,1,0,D,
Rusty Blackbird,61.21056,3921.1612,Icteridae,Euphagus carolinus,-0.079376909,0.041882731,0.159828462,0,0,D,"""Apparently migrates diurnally"""
Western Meadowlark,44.22037,949.30475,Icteridae,Sturnella neglecta,-0.191006428,-0.06434653,0.058017113,0,0,D,
Yellow-headed Blackbird,46.80062,2518.55402,Icteridae,Xanthocephalus xanthocephalus,0.09883739,0.139062888,0.180143717,1,0,D,
Northern Shrike,64.67389,3857.80916,Laniidae,Lanius borealis,-0.30384984,-0.164472898,-0.022729632,0,1,D,"""Apparently diurnal in the Neartic"""
Lark Bunting,42.99569,1315.099,Passerellidae,Calamospiza melanocorys,-0.316977711,-0.163422522,-0.014802152,0,1,D,
Ruby-throated Hummingbird,39.83159,2696.54425,Trochilidae,Archilochus colubris,-0.086759816,-0.060176074,-0.033476757,0,1,D,
Allen's Hummingbird,36.63734,390.6184,Trochilidae,Selasphorus sasin,-0.344145656,-0.218439376,-0.094530062,0,1,D,
Anna's Hummingbird,36.83189,55.19181,Trochilidae,Calypte anna,-0.032535963,0.004055696,0.042531025,0,0,D,
Black-chinned Hummingbird,32.95097,1421.76335,Trochilidae,Archilochus alexandri,-0.044865571,-0.001845059,0.041876154,0,0,D,
Broad-tailed Hummingbird,38.32612,2187.70942,Trochilidae,Selasphorus platycercus,-0.111328796,-0.060851007,-0.008711139,0,1,D,
Calliope Hummingbird,39.66144,4009.793,Trochilidae,Stellula calliope,-0.236828466,-0.180491411,-0.122227917,0,1,D,
Costa's Hummingbird,32.29649,403.1345,Trochilidae,Calypte costae,-0.250271794,-0.16510842,-0.07800769,0,1,D,
Lucifer Hummingbird,28.67576,1112.683,Trochilidae,Calothorax lucifer,0.196662641,0.431701331,0.671434648,1,0,D,
Rufous Hummingbird,50.6028,3774.76329,Trochilidae,Selasphorus rufus,-0.091655601,-0.048895958,-0.003004684,0,1,D,
Eastern Bluebird,37.05424,144.97815,Turdidae,Sialia sialis,-0.145412757,-0.082145266,-0.020207912,0,1,D,
Eastern Phoebe,40.73082,1044.47,Tyrannidae,Sayornis phoebe,0.051812897,0.081893682,0.112373001,1,0,D,
Gray Kingbird,20.20254,839.221,Tyrannidae,Tyrannus dominicensis,-0.156505534,0.038336973,0.233413416,0,0,D,"""Probably a diurnal migrant"""
Say's Phoebe,39.307155,977.6559,Tyrannidae,Sayornis saya,-0.171654026,-0.012233913,0.144997823,0,0,D,"""Diurnal migration probable as there are no reports of nocturnal movement"""
Western Kingbird,38.808811,3127.6183,Tyrannidae,Tyrannus verticalis,0.059166731,0.209148983,0.359487794,1,0,D,
Indigo Bunting,37.54175,2195.14958,Cardinalidae,Passerina cyanea,-0.16447973,-0.125767659,-0.087742968,0,1,N,
